nome,genero,presenca_plenario,ausencia_justificada_plenario,ausencia_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_comissao,data_nascimento,gasto_total_par,gasto_total_gab,salario_bruto,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab
PEDRO BANDARRA WESTPHALEN,M,91,0,1,75,2,1,19/12/1950,"381.668,47","1.115.262,50","33.763,00","36.518,28","54.324,72","62.114,31","44.251,67","50.504,82","34.167,19","35.224,30","25.574,63","8.729,07","24.373,16","5.886,32",-,"111.526,25","111.526,25","111.526,25","111.526,25","111.526,25","111.526,25","111.526,25","111.526,25","111.526,25","111.526,25",-,-
ANTÔNIO PINHEIRO NETO,M,91,1,0,20,4,1,30/05/1991,"295.320,63","1.107.362,29","33.763,00","34.997,43","48.213,22","38.778,05","34.383,72","35.564,82","26.281,37","23.988,24","21.895,37","8.254,43","22.120,56","843,42",-,"111.556,62","111.556,62","111.556,62","108.716,69","107.672,88","110.221,78","111.520,27","111.520,27","111.520,27","111.520,27",-,-
ALCIDES RIBEIRO FILHO,M,85,0,7,37,0,24,25/10/1953,"341.806,61","1.107.759,02","33.763,00","33.108,61","33.113,89","48.105,19","48.112,75","48.107,00","33.107,36","36.344,43","15.569,34","12.097,38","31.074,94","3.065,72",-,"111.586,87","111.586,87","110.799,10","111.671,93","108.381,81","110.344,32","111.671,93","111.029,15","110.343,52","110.343,52",-,-
DARCI POMPEO DE MATTOS,M,89,2,1,65,11,43,12/07/1958,"358.380,95","1.111.211,14","33.763,00","41.231,74","59.462,92","49.369,15","73.003,33","33.109,82","28.978,11","25.956,45","17.821,83","16.082,73","12.802,87","562,00",-,"111.204,69","111.204,69","110.681,07","111.198,62","110.983,29","111.016,67","111.016,67","111.100,61","111.392,73","111.412,10",-,-
ISRAEL MATOS BATISTA,M,89,3,0,55,0,14,02/05/1982,"268.808,04","1.097.075,16","33.763,00","24.294,73","25.264,69","33.230,03","44.260,36","31.069,74","16.543,25","15.516,55","11.331,89","12.985,33","54.311,47","0,00",-,"108.657,06","109.957,54","111.581,39","110.968,15","106.242,06","108.128,74","109.508,43","111.653,58","108.724,61","111.653,60",-,-
RAFAEL HUETE DA MOTTA,M,80,5,7,27,4,21,15/08/1986,"258.446,05","1.116.110,63","33.763,00","22.061,25","20.987,07","32.044,73","38.481,01","47.323,12","19.788,15","28.425,17","12.569,51","12.955,13","20.480,35","3.330,56",-,"111.611,09","111.611,06","111.611,06","111.611,06","111.611,06","111.611,06","111.611,06","111.611,06","111.611,06","111.611,06",-,-
JOZIEL FERREIRA CARLOS,M,88,0,4,35,0,42,22/04/1966,"337.587,74","1.093.222,67","33.763,00","26.284,98","21.925,42","46.651,94","45.817,36","55.224,11","25.815,11","24.873,87","32.404,12","21.329,86","35.691,44","1.569,53",-,"110.786,15","110.786,15","110.786,15","111.298,81","110.786,15","110.023,45","111.617,14","111.033,65","111.084,56","95.020,46",-,-
REGINALDO LÁZARO DE OLIVEIRA LOPES,M,77,15,0,4,5,55,02/04/1973,"284.845,43","1.095.155,55","33.763,00","22.866,69","27.219,10","59.587,46","49.989,97","50.048,57","35.479,55","19.697,60","15.557,40","2.969,06","1.377,71","52,32",-,"108.026,25","109.022,78","111.193,01","111.289,68","111.289,68","111.083,64","105.108,61","107.364,31","111.138,02","109.639,57",-,-
RAIMUNDO MAGALHÃES COSTA,M,77,10,5,25,8,13,09/03/1961,"385.733,94","1.103.448,31","33.763,00","31.247,01","33.852,56","35.730,14","59.847,83","54.251,36","39.948,97","38.881,38","37.224,96","30.425,51","23.741,54","582,68",-,"109.381,85","111.443,89","110.344,94","110.092,70","107.265,94","110.034,01","111.291,20","110.355,30","111.665,71","111.572,77",-,-
RICARDO JOSÉ MAGALHÃES BARROS,M,85,7,0,27,4,12,15/11/1959,"289.209,52","1.066.238,10","33.763,00","31.383,94","29.984,02","33.975,37","31.338,43","38.325,55","31.141,41","40.542,02","28.929,56","8.765,20","14.824,02","0,00",-,"110.792,29","109.833,02","109.637,04","106.128,07","109.134,10","104.534,79","103.324,87","103.658,88","103.658,88","105.536,16",-,-
