nome,genero,presenca_plenario,ausencia_justificada_plenario,ausencia_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_comissao,data_nascimento,gasto_total_par,gasto_total_gab,salario_bruto,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab
CYLMARA FERNANDES DA ROCHA GRIPP,F,77,14,1,30,6,16,04/09/1973,"431.336,20",0%,"33.763,00","56.886,05","57.867,30","54.199,26","46.657,40","62.724,01","33.841,62","21.007,85","23.443,28","30.345,94","44.363,49",-,-,"110.779,96","110.779,96","110.779,96","110.779,96","110.779,96","109.894,35","110.779,96","110.983,86","111.574,61","111.492,81","0,00",-
MARGARETE DE CASTRO COELHO,F,81,10,1,58,9,18,12/03/1961,"379.382,14",1.4007141688886564%,"33.763,00","45.113,84","50.976,40","52.735,60","28.872,48","50.764,85","40.798,70","35.963,33","15.107,77","13.877,11","44.057,01",-,-,"110.943,91","108.857,07","110.120,74","107.482,10","99.024,19","108.590,38","108.590,38","108.590,38","108.590,38","108.590,38","1.115,05",-
MARIA DO PARTO MENDES ROSAS,F,62,0,0,41,0,2,01/10/1965,"187.328,36",0.21518662382731357%,"33.763,00",-,-,-,"31.183,42","18.825,99","39.925,50","29.239,92","24.673,76","27.178,62","16.101,15",-,-,"106.936,54","107.061,76","110.238,71","111.538,37","111.538,37","109.915,15","107.599,10","111.210,42","111.538,37","111.538,37","200,00",-
NATÁLIA BASTOS BONAVIDES,F,86,6,0,16,4,15,15/06/1988,"339.385,80",0.055836399044845726%,"33.763,00","31.946,09","31.413,95","72.688,49","61.905,75","54.961,85","41.735,22","31.051,52","7.935,30","2.706,85","2.967,78",-,-,"106.600,62","90.902,30","96.132,21","98.979,97","102.664,33","99.242,75","104.019,87","107.795,14","111.410,75","111.213,52","73,00",-
MARINA SANTOS BATISTA DIAS,F,90,2,0,6,1,12,13/09/1980,"357.095,02",0.5992014541414943%,"33.763,00","23.811,47","41.587,12","38.764,57","35.827,39","41.760,61","43.099,71","38.934,07","25.951,64","26.865,00","39.929,24",-,-,"111.495,88","111.495,88","111.311,17","111.185,14","111.495,87","111.495,87","111.495,88","111.495,88","111.495,88","111.495,88","564,20",-
MARIANA FONSECA RIBEIRO CARVALHO DE MORAES,F,53,4,4,14,4,6,26/11/1986,"203.702,64",0.30974978628667715%,"33.763,00","20.869,22","24.814,35","47.199,17","61.996,18","40.425,87","1.826,39",-,-,-,"6.249,12",-,-,"110.447,75","111.310,98","111.014,24","111.416,94","111.416,94","110.963,22","109.667,84","104.478,85","105.163,12","101.764,09","322,34",-
MARÍLIA VALENÇA ROCHA ARRAES DE ALENCAR,F,64,21,7,3,5,5,12/04/1984,"279.644,77",0.17745854420236862%,"33.763,00","13.902,07","25.170,41","93.784,61","54.406,01","29.683,86","14.216,62","21.165,20","10.306,43","9.508,71","7.182,99",-,-,"108.653,71","111.429,12","111.429,12","107.972,58","109.087,10","111.617,16","110.853,68","111.354,04","98.888,69","87.984,76","317,86",-
NORMA AYUB ALVES,F,77,14,1,20,8,5,07/09/1959,"282.558,92",2.2074584485761597%,"33.763,00","19.354,87","22.480,29","25.213,93","34.648,47","34.202,81","33.963,01","31.584,22","23.186,05","21.829,52","33.181,50",-,-,"109.263,62","109.263,62","109.371,25","108.282,54","108.682,13","109.497,38","106.962,54","107.480,28","107.282,54","110.694,20","2.914,25",-
PATRICIA LIMA FERRAZ,F,10,0,0,0,0,0,09/01/1980,"61.259,97",2.473831307511799%,"33.763,00",-,-,-,-,-,-,-,-,"7.370,23","52.876,43",-,-,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1.013,31",-
PAULA MORENO PARO BELMONTE,F,87,2,3,62,6,27,23/06/1973,"0,00",0%,"33.763,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",-,-,"105.453,30","105.634,73","105.767,33","109.556,14","110.422,17","107.546,98","94.842,01","90.556,61","98.626,57","107.354,42","0,00",-
